Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;A0A0B4J2D5-2;P0DPI2;P0DPI2-2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	372014
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	162618
A0A0B4J2F2	A0A0B4J2F2	SIK1B_HUMAN	SIK1B	Probable serine/threonine-protein kinase SIK1B	138758
A0A1B0GTU1	A0A1B0GTU1	ZC11B_HUMAN	ZC3H11B	Zinc finger CCCH domain-containing protein 11B	22955
A0A1B0GTU1;O75152	A0A1B0GTU1;O75152	ZC11A_HUMAN;ZC11B_HUMAN	ZC3H11A;ZC3H11B	Zinc finger CCCH domain-containing protein 11B	195725
A0A1B0GUS4	A0A1B0GUS4	UB2L5_HUMAN	UBE2L5	Ubiquitin-conjugating enzyme E2 L5	25001
A0A1B0GUS4;P68036	A0A1B0GUS4;P68036;P68036-2;P68036-3	UB2L3_HUMAN;UB2L5_HUMAN	UBE2L3;UBE2L5	Ubiquitin-conjugating enzyme E2 L5	858675
A0AV96	A0AV96;A0AV96-2	RBM47_HUMAN	RBM47	RNA-binding protein 47	178966
A0AVT1	A0AVT1;A0AVT1-2	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	236050
A0FGR8;A0FGR8-2;A0FGR8-6	A0FGR8;A0FGR8-2;A0FGR8-4;A0FGR8-5;A0FGR8-6	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	521680
A0JLT2;A0JLT2-2	A0JLT2;A0JLT2-2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	28888
A0JNW5	A0JNW5;A0JNW5-2	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	251425
A0MZ66;A0MZ66-3	A0MZ66;A0MZ66-3;A0MZ66-5;A0MZ66-6;A0MZ66-7	SHOT1_HUMAN	SHTN1	Shootin-1	144936
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	135806
A0PK00	A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	85733
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	112296
A1L0T0	A1L0T0	ILVBL_HUMAN	ILVBL	Acetolactate synthase-like protein	331779
A1L170;A1L170-2	A1L170;A1L170-2	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	68359
A1L188	A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	15411
A1L390;A1L390-3	A1L390;A1L390-2;A1L390-3	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	40273
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	43021
A2RRD8;P0CJ79	A2RRD8;P0CJ79	ZN320_HUMAN;ZN888_HUMAN	ZNF320;ZNF888	Zinc finger protein 320	143127
A2RRP1	A2RRP1;A2RRP1-2	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	102429
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	70072
A2RUB1;A2RUB1-1;A2RUB1-2;A2RUB1-5	A2RUB1;A2RUB1-2;A2RUB1-1;A2RUB1-5	MEIOC_HUMAN	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	282413
A2RUR9;A2RUR9-2;Q8IYA2	A2RUR9;A2RUR9-2;Q8IYA2	C144A_HUMAN;C144C_HUMAN	CCDC144A;CCDC144CP	Coiled-coil domain-containing protein 144A	134810
A2RUS2;A2RUS2-2	A2RUS2;A2RUS2-2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	11962
A2RUT3	A2RUT3	TMM89_HUMAN	TMEM89	Transmembrane protein 89	115516
A2RUU4	A2RUU4	COLL1_HUMAN	CLPSL1	Colipase-like protein 1	48367
A3KMH1;A3KMH1-3	A3KMH1;A3KMH1-2;A3KMH1-3	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	492267
A3KN83;A3KN83-2	A3KN83;A3KN83-2;A3KN83-3	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	79014
A3KN83;A3KN83-2;Q9Y2G9;Q9Y2G9-3	A3KN83;A3KN83-2;A3KN83-3;A3KN83-4;Q9Y2G9;Q9Y2G9-3	SBNO1_HUMAN;SBNO2_HUMAN	SBNO1;SBNO2	Protein strawberry notch homolog 1	44591
A4D1E9	A4D1E9;A4D1E9-2	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	93383
A4D1P6;A4D1P6-2	A4D1P6;A4D1P6-2;A4D1P6-3	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	46957
A4D2H0;A4FU28;P0CG41;Q86UF2;Q8IX94	A4D2H0;Q8IX94;A4FU28;Q86UF2;P0CG41	CTGE4_HUMAN;CTGE6_HUMAN;CTGE8_HUMAN;CTGE9_HUMAN;CTGEF_HUMAN	CTAGE15;CTAGE4;CTAGE6;CTAGE8;CTAGE9	cTAGE family member 15	11676
A4QPH2;P42356	A4QPH2;A4QPH2-2;A4QPH2-4;P42356;P42356-2	PI4KA_HUMAN;PI4P2_HUMAN	PI4KA;PI4KAP2	Putative phosphatidylinositol 4-kinase alpha-like protein P2	21208
A5A3E0	A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	881876
A5A3E0;P0CG39	P60709;Q9BYX7;P63261;P0CG39;A5A3E0;Q6S8J3;P0CG38	POTEF_HUMAN;POTEJ_HUMAN	POTEF;POTEJ	POTE ankyrin domain family member F	5.50866e+06
A5A3E0;P0CG39;P68133	P60709;P62736;P68133;P63261;P68032;P63267;P63267-2;P0CG39;A5A3E0;Q6S8J3;P0CG38	ACTS_HUMAN;POTEF_HUMAN;POTEJ_HUMAN	ACTA1;POTEF;POTEJ	POTE ankyrin domain family member F	3.57464e+06
A5A3E0;P68133	P60709;P62736;P68133;P63261;P68032;P63267;P63267-2;A5A3E0;Q6S8J3;P0CG38	ACTS_HUMAN;POTEF_HUMAN	ACTA1;POTEF	POTE ankyrin domain family member F	1.66579e+07
A5A3E0;P68133;Q562R1	Q562R1;P60709;P62736;P68133;Q9BYX7;P63261;P68032;P63267;P63267-2;A5A3E0;Q6S8J3	ACTBL_HUMAN;ACTS_HUMAN;POTEF_HUMAN	ACTA1;ACTBL2;POTEF	POTE ankyrin domain family member F	3.75981e+06
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	33958
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5	A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5;A5PLN9-7	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	152964
A5YKK6	A5YKK6;A5YKK6-2;A5YKK6-3	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	621260
A6H8Y1;A6H8Y1-6;A6H8Y1-7	A6H8Y1;A6H8Y1-2;A6H8Y1-3;A6H8Y1-4;A6H8Y1-6;A6H8Y1-7	BDP1_HUMAN	BDP1	Transcription factor TFIIIB component B'' homolog	1.11778e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	40968
A6NDB9	A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3	1.52987e+06
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	205510
A6NDU8	A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	189813
A6NED2	A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	147775
A6NES4	A6NES4	MRO2A_HUMAN	MROH2A	Maestro heat-like repeat-containing protein family member 2A	386756
A6NFE2	A6NFE2	SMCO2_HUMAN	SMCO2	Single-pass membrane and coiled-coil domain-containing protein 2	335709
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	424021
A6NFY7	A6NFY7	SDHF1_HUMAN	SDHAF1	Succinate dehydrogenase assembly factor 1, mitochondrial	15553
A6NHL2;A6NHL2-2	A6NHL2;A6NHL2-2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	204719
A6NHL2;A6NHL2-2;P68366;P68366-2;Q9BQE3;Q9NY65;Q9NY65-2	Q71U36;Q71U36-2;P68363;P68363-2;Q6PEY2;Q9BQE3;Q9NY65;Q9NY65-2;P0DPH7;P0DPH8;P68366;P68366-2;A6NHL2;A6NHL2-2	TBA1C_HUMAN;TBA4A_HUMAN;TBA8_HUMAN;TBAL3_HUMAN	TUBA1C;TUBA4A;TUBA8;TUBAL3	Tubulin alpha chain-like 3	1.78644e+06
A6NHN0	A6NHN0	OTOL1_HUMAN	OTOL1	Otolin-1	1.00463e+06
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	2.052e+06
A6NHQ2;P22087	P22087;A6NHQ2	FBLL1_HUMAN;FBRL_HUMAN	FBL;FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	352249
A6NHR9	A6NHR9;A6NHR9-2	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	177422
A6NHT5	A6NHT5	HMX3_HUMAN	HMX3	Homeobox protein HMX3	55522
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	22565
A6NIH7	A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	171253
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	Probable methyltransferase-like protein 15	67063
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	2628
A6NKF1	A6NKF1;A6NKF1-2	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	50356
A6NKT7;Q7Z3J3	A6NKT7;Q7Z3J3	RGPD3_HUMAN;RGPD4_HUMAN	RGPD3;RGPD4	RanBP2-like and GRIP domain-containing protein 3	205925
A6NMB9	A6NMB9	FIGL2_HUMAN	FIGNL2	Putative fidgetin-like protein 2	38630
A6NNF4;A6NNF4-3	A6NNF4;A6NNF4-3	ZN726_HUMAN	ZNF726	Zinc finger protein 726	862918
A6NP11	A6NP11	ZN716_HUMAN	ZNF716	Zinc finger protein 716	432939
A6NP11;O14628;O14628-4;O14628-5;O14628-6;O14628-7;Q03936;Q03936-3;Q03938;Q6ZN08;Q8NB42;Q8NB42-2	Q5HY98;Q8NB42;Q8NB42-2;Q3MIS6;Q9NV72;Q9NV72-2;A2RRD8;Q8IYB9;Q86YE8;P0DPD5;Q96SE7;Q96SE7-2;Q8WV37;Q5JVG8;Q5JVG8-2;Q8TB69;A6NP11;P0CJ79;Q15929;P0CB33;A6NN14;Q5VIY5;Q9P2J8;B4DXR9;Q96IR2;Q03938;Q15928;Q96H40;P17035;O75346;Q8N859;Q5FWF6;Q5FWF6-3;P59923;Q76KX8;Q76KX8-2;Q3SXZ3;Q96JC4;Q9H7R5;O60765;Q6ZN06;Q6ZN08;Q03936;Q03936-3;Q9Y2Q1;Q9Y2Q1-2;Q9Y2Q1-4;Q86XN6;P17039;P17039-2;P17039-3;Q9HBT8;Q9HBT8-2;Q8N9Z0;Q8N9Z0-2;Q8IW36;Q8IW36-1;Q8IW36-2;Q8IW36-3;A8MT65;Q96LW1;Q09FC8-5;Q09FC8-6;Q96JL9;Q96JL9-3;O14628;O14628-4;O14628-5;O14628-6;O14628-7;O14628-8;Q08AN1;Q86XU0;Q8IYX0;Q7L2R6;Q7L2R6-2;Q7L2R6-3;Q6ZN19-3	ZN195_HUMAN;ZN527_HUMAN;ZN716_HUMAN;ZNF66_HUMAN;ZNF90_HUMAN;ZNF92_HUMAN	ZNF195;ZNF527;ZNF66;ZNF716;ZNF90;ZNF92	Zinc finger protein 716	36786
A6ZKI3;Q17RB0;Q9BWD3	Q17RB0;Q9BWD3;A6ZKI3	RTL8A_HUMAN;RTL8B_HUMAN;RTL8C_HUMAN	RTL8A;RTL8B;RTL8C	Retrotransposon Gag-like protein 8C	39447
A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-5	A7E2V4;A7E2V4-2;A7E2V4-3;A7E2V4-4;A7E2V4-5	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	95347
A8CG34	A8CG34;A8CG34-2	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	188745
A8CG34;Q96HA1	Q6PJE2;Q6PJE2-5;A8CG34;A8CG34-2;Q96HA1;Q96HA1-2;Q96HA1-3	P121A_HUMAN;P121C_HUMAN	POM121;POM121C	Nuclear envelope pore membrane protein POM 121C	125710
A8K855;A8K855-2	A8K855;A8K855-2	EFCB7_HUMAN	EFCAB7	EF-hand calcium-binding domain-containing protein 7	342011
A8K8P3;A8K8P3-10;A8K8P3-2;A8K8P3-3;A8K8P3-4;A8K8P3-5;A8K8P3-9	A8K8P3;A8K8P3-2;A8K8P3-3;A8K8P3-4;A8K8P3-5;A8K8P3-9;A8K8P3-10	SFI1_HUMAN	SFI1	Protein SFI1 homolog	44323
A8MQ03	A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	22957
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	581246
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	438794
A9QM74	A9QM74	IMA8_HUMAN	KPNA7	Importin subunit alpha-8	198734
A9UHW6;A9UHW6-2;A9UHW6-3	A9UHW6;A9UHW6-2;A9UHW6-3	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	57445
B0I1T2	O94832;B0I1T2;B0I1T2-2;B0I1T2-3;B0I1T2-4	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	379105
B0YJ81	B0YJ81	HACD1_HUMAN	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	15895
B1AJZ9;B1AJZ9-3;B1AJZ9-4	B1AJZ9;B1AJZ9-3;B1AJZ9-4	FHAD1_HUMAN	FHAD1	Forkhead-associated domain-containing protein 1	225870
B2RTY4;B2RTY4-2	B2RTY4;B2RTY4-2;B2RTY4-4;B2RTY4-5	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa	558423
B3EWF7	B3EWF7	EP2A2_HUMAN	EPM2A	Laforin, isoform 9	76325
B3KU38;B3KU38-2;P0DPB3;P0DPB3-2;P0DPB3-3;P0DPB3-4	B3KU38;B3KU38-2;P0DPB3;P0DPB3-2;P0DPB3-3;P0DPB3-4	IQIP1_HUMAN;SCHI1_HUMAN	IQCJ-SCHIP1;SCHIP1	IQCJ-SCHIP1 readthrough transcript protein	422203
B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08	B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	59028
C4AMC7;Q6VEQ5	Q6VEQ5;C4AMC7;A8K0Z3	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	25906
C9J7I0	C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	11614
C9JN71;Q08AG5;Q6ZQV5;Q6ZQV5-2	C9JN71;Q08AG5;Q6ZQV5;Q6ZQV5-2	ZN788_HUMAN;ZN844_HUMAN;ZN878_HUMAN	ZNF788P;ZNF844;ZNF878	Zinc finger protein 878	99999
E9PAV3;E9PAV3-2;Q13765	Q13765;E9PAV3;E9PAV3-2	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.18973e+06
E9PAV3;E9PAV3-2;Q13765;Q9BZK3	Q13765;Q9BZK3;E9PAV3;E9PAV3-2	NACAM_HUMAN;NACA_HUMAN;NACP4_HUMAN	NACA;NACA4P	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	567042
E9PAV3;E9PAV3-2;Q13765;Q9BZK3;Q9H009	Q13765;Q9BZK3;E9PAV3;E9PAV3-2;Q9H009	NACA2_HUMAN;NACAM_HUMAN;NACA_HUMAN;NACP4_HUMAN	NACA;NACA2;NACA4P	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	24931
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	191486
G2XKQ0;P63165	G2XKQ0;P63165	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	59343
H7BZ55	H7BZ55	CRCC2_HUMAN	CROCC2	Putative ciliary rootlet coiled-coil protein 2	142966
I3L3R5	I3L3R5	CCER2_HUMAN	CCER2	Coiled-coil domain-containing glutamate-rich protein 2	283170
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	494176
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	68778
O00115;O00115-2	O00115;O00115-2	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	284052
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	410244
O00124;O00124-3	O00124;O00124-3	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	7041
O00139;O00139-4	O00139;O00139-1;O00139-2;O00139-4;O00139-5	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	3.68049e+06
O00142;O00142-2;O00142-4;O00142-6	O00142;O00142-2;O00142-4;O00142-6	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	38655
O00148	O00148;O00148-2;O00148-3	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	616532
O00148;Q13838;Q13838-2	Q13838;Q13838-2;O00148;O00148-2;O00148-3	DX39A_HUMAN;DX39B_HUMAN	DDX39A;DDX39B	ATP-dependent RNA helicase DDX39A	2.70963e+06
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	296561
O00154;O00154-4;O00154-6;O00154-7	O00154;O00154-2;O00154-3;O00154-4;O00154-5;O00154-6;O00154-7	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	362001
O00159;O00159-3	O00159;O00159-2;O00159-3	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	326860
O00160	O00160	MYO1F_HUMAN	MYO1F	Unconventional myosin-If	204527
O00160;Q12965	Q12965;O00160	MYO1E_HUMAN;MYO1F_HUMAN	MYO1E;MYO1F	Unconventional myosin-If	216057
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	116707
O00165;O00165-2	O00165;O00165-2;O00165-3;O00165-5	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	245401
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	583692
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	180509
O00180	O00180	KCNK1_HUMAN	KCNK1	Potassium channel subfamily K member 1	11866
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	222163
O00189	O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	46780
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein	547202
O00194	O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	122665
O00194;P51159;P51159-2	O00194;P51159;P51159-2	RB27A_HUMAN;RB27B_HUMAN	RAB27A;RAB27B	Ras-related protein Rab-27B	107170
O00203	Q13367;Q13367-4;O00203;O00203-3	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	317749
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	490501
O00220	O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	19120
O00221	O00221	IKBE_HUMAN	NFKBIE	NF-kappa-B inhibitor epsilon	294561
O00231;O00231-2	O00231;O00231-2	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	669637
O00232	O00232;O00232-2	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	478989
O00233	O00233;O00233-2	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	300848
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	271942
O00255;O00255-2	O00255;O00255-2;O00255-3	MEN1_HUMAN	MEN1	Menin	43263
O00257	O00257;O00257-3	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	61108
O00264	O00264;O00264-2	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	580610
O00264;O15173;O15173-2	O00264;O15173;O15173-2	PGRC1_HUMAN;PGRC2_HUMAN	PGRMC1;PGRMC2	Membrane-associated progesterone receptor component 1	182794
O00267	O00267;O00267-2	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	230899
O00268	O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	73014
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	201258
O00287	O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	36526
O00291;O00291-4	O00291;O00291-3;O00291-4	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	55212
O00291;O00291-4;O75146	O75146;O00291;O00291-3;O00291-4	HIP1R_HUMAN;HIP1_HUMAN	HIP1;HIP1R	Huntingtin-interacting protein 1	53409
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.03497e+06
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	872061
O00308	O00308;O00308-2;O00308-4	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	30030
O00308;Q96J02;Q96J02-2;Q9H0M0;Q9H0M0-3;Q9H0M0-6	O00308;O00308-2;O00308-3;Q96J02;Q96J02-2;Q96J02-3;Q9H0M0;Q9H0M0-3;Q9H0M0-6	ITCH_HUMAN;WWP1_HUMAN;WWP2_HUMAN	ITCH;WWP1;WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	36887
O00311	O00311	CDC7_HUMAN	CDC7	Cell division cycle 7-related protein kinase	137807
O00330;O00330-3	O00330;O00330-3	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	129015
O00391;O00391-2	O00391;O00391-2	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	208998
O00399	O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	154817
O00400	O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	85448
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	99239
O00410;O00410-3	O00410;O00410-2;O00410-3	IPO5_HUMAN	IPO5	Importin-5	749500
O00410;O00410-3;O60518	O00410;O00410-2;O00410-3;O60518	IPO5_HUMAN;RNBP6_HUMAN	IPO5;RANBP6	Importin-5	370768
O00411	O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	213497
O00418	O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	55316
O00422;O00422-2	O00422;O00422-2	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	680366
O00423;O00423-3	O00423;O00423-3	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	52221
O00425	O00425;O00425-2	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	323910
O00425;Q9NZI8;Q9Y6M1;Q9Y6M1-1;Q9Y6M1-3;Q9Y6M1-4;Q9Y6M1-5;Q9Y6M1-6	Q9Y6M1;Q9Y6M1-1;Q9Y6M1-3;Q9Y6M1-4;Q9Y6M1-5;Q9Y6M1-6;Q9NZI8;Q9NZI8-2;O00425;O00425-2	IF2B1_HUMAN;IF2B2_HUMAN;IF2B3_HUMAN	IGF2BP1;IGF2BP2;IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	241880
O00429	O00429;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-7;O00429-8;O00429-9	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	609447
O00442	O00442;O00442-2	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	135368
O00443	O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	117183
O00445;O00445-2	O00445;O00445-2	SYT5_HUMAN	SYT5	Synaptotagmin-5	13559
O00458	O00458;O00458-2	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	114915
O00459	O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	32288
O00459;P27986;P27986-2;P27986-3;P27986-4;P27986-5	O00459;Q92569;Q92569-2;Q92569-3;P27986;P27986-2;P27986-3;P27986-4;P27986-5	P85A_HUMAN;P85B_HUMAN	PIK3R1;PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	32582
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	101456
O00462	O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	23428
O00468;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7	O00468;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7	AGRIN_HUMAN	AGRN	Agrin	240701
O00469;O00469-2	O00469;O00469-2;O00469-3	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	48101
O00471	O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	91614
O00478;O00478-2;O00481;O00481-2;O00481-3;O00481-4;P78410;P78410-2;P78410-3	O00478;O00478-2;P78410;P78410-2;P78410-3;O00481;O00481-2;O00481-3;O00481-4	BT3A1_HUMAN;BT3A2_HUMAN;BT3A3_HUMAN	BTN3A1;BTN3A2;BTN3A3	Butyrophilin subfamily 3 member A3	15201
O00479	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	166950
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	680179
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	272999
O00488	O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	94054
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9;O00499-10;O00499-11	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	188528
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	179013
O00505;O00629	O00505;O00629	IMA3_HUMAN;IMA4_HUMAN	KPNA3;KPNA4	Importin subunit alpha-4	336499
